ID,name,position,age,nationality,current_club,matches_played
f373,David Brooks,FW,27,wls WAL,Bournemouth,17
f374,Moritz Broschinski,"FW,MF",24,de GER,Bochum,21
f375,Nathaniel Brown,"DF,MF",21,de GER,Eint Frankfurt,13
f376,Jacob Bruun Larsen,"FW,MF",26,dk DEN,Hoffenheim,12
f377,Jacob Bruun Larsen,MF,26,dk DEN,Stuttgart,5
f378,Tajon Buchanan,"DF,FW",26,ca CAN,Inter,6
f379,Tajon Buchanan,MF,26,ca CAN,Villarreal,1
f380,Ante Budimir,FW,33,hr CRO,Osasuna,23
f381,Emi Buendía,"MF,FW",28,ar ARG,Aston Villa,12
f382,Emi Buendía,MF,28,ar ARG,Leverkusen,2
f383,Manu Bueno,MF,20,es ESP,Sevilla,3
f384,Santiago Bueno,DF,26,uy URU,Wolves,17
f385,Endika Buján,FW,22,es ESP,Athletic Club,1
f386,Marius Bülter,FW,31,de GER,Hoffenheim,14
f387,Facundo Buonanotte,"FW,MF",20,ar ARG,Leicester City,20
f388,Alessandro Buongiorno,DF,25,it ITA,Napoli,15
f389,Cameron Burgess,DF,29,au AUS,Ipswich Town,10
f390,Jonathan Burkardt,FW,24,de GER,Mainz 05,17
f391,Oliver Burke,"FW,MF",27,sct SCO,Werder Bremen,14
f392,Dan Burn,DF,32,eng ENG,Newcastle Utd,23
f393,Rareș-Cătălin Burnete,FW,21,ro ROU,Lecce,2
f394,Wes Burns,"FW,DF",30,wls WAL,Ipswich Town,18
f395,Marnon Busch,DF,30,de GER,Heidenheim,13
f396,Gianluca Busio,MF,22,us USA,Venezia,21
f397,Aurélio Buta,DF,28,pt POR,Reims,18
f398,Jean Butez,GK,29,fr FRA,Como,6
f399,Marcin Bułka,GK,25,pl POL,Nice,21
f400,Pau Cabanes,"MF,FW",19,es ESP,Villarreal,10
f401,Pau Cabanes,MF,19,es ESP,Alavés,1
f402,Rémy Cabella,"FW,MF",34,fr FRA,Lille,19
f403,Leandro Cabrera,DF,33,uy URU,Espanyol,19
f404,Liberato Cacace,"DF,MF",24,nz NZL,Empoli,20
f405,Anthony Caci,DF,27,fr FRA,Mainz 05,20
f406,Mathieu Cafaro,"MF,FW",27,fr FRA,Saint-Étienne,15
f407,Moisés Caicedo,MF,23,ec ECU,Chelsea,25
f408,Tom Cairney,MF,34,sct SCO,Fulham,17
f409,Jens Cajuste,MF,25,se SWE,Ipswich Town,17
f410,Davide Calabria,DF,28,it ITA,Bologna,1
f411,Davide Calabria,DF,28,it ITA,Milan,7
f412,Riccardo Calafiori,DF,22,it ITA,Arsenal,13
f413,Luca Caldirola,DF,34,it ITA,Monza,7
f414,Fernando Calero,DF,29,es ESP,Espanyol,8
f415,Duje Ćaleta-Car,DF,28,hr CRO,Lyon,15
f416,Hakan Çalhanoğlu,MF,31,tr TUR,Inter,16
f417,Dominic Calvert-Lewin,FW,27,eng ENG,Everton,22
f418,Drissa Camara,"MF,FW",22,ci CIV,Parma,14
f419,Issiaga Camara,MF,20,gn GUI,Nice,4
f420,Lamine Camara,MF,21,sn SEN,Monaco,17
f421,Mahdi Camara,MF,26,fr FRA,Brest,22
f422,Francesco Camarda,"FW,MF",16,it ITA,Milan,8
f423,Eduardo Camavinga,"MF,DF",22,fr FRA,Real Madrid,9
f424,Nicolò Cambiaghi,FW,24,it ITA,Bologna,4
f425,Andrea Cambiaso,"DF,FW",24,it ITA,Juventus,21
f426,Axel Camblan,"MF,FW",21,fr FRA,Brest,2
f427,Sergio Camello,FW,24,es ESP,Rayo Vallecano,23
f428,José Campaña,MF,31,es ESP,Las Palmas,13
f429,Cole Campbell,"MF,FW",18,us USA,Dortmund,4
f430,Emre Can,"DF,MF",31,de GER,Dortmund,18
f431,Peio Canales,"MF,FW",20,es ESP,Athletic Club,3
f432,Matteo Cancellieri,"FW,MF",23,it ITA,Parma,22
f433,Fali Candé,DF,27,gw GNB,Venezia,3
f434,Antonio Candela,DF,24,it ITA,Venezia,14
f435,Antonio Candela,DF,24,it ITA,Valladolid,1
f436,Sergi Canós,"MF,FW",28,es ESP,Valencia,14
f437,Jaydee Canvot,"DF,MF",18,fr FRA,Toulouse,8
